slug,canonical_slug,aliases,name,active,product_count,brand_review_count,brand_reviews_available,order_volume_label,order_volume_numeric,order_volume_tier,years_on_noths,months_on_noths,tenure_label,location,returns_address_full,brand_url,products_url,affiliate_url,reviews_per_1k_orders
carijanehakes,carijanehakes,,Cari-Jane Hakes,True,9,308,True,6.2K+,6200,1K+,12,,12 years,"East Riding Of Yorkshire, GB",,https://www.notonthehighstreet.com/partners/carijanehakes,https://www.notonthehighstreet.com/partners/carijanehakes/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fcarijanehakes,49.68
dressfordinner,dressfordinner,,Dress For Dinner Tablescapes,True,0,0,True,6.2K+,6200,1K+,5,,5 years,,,https://www.notonthehighstreet.com/partners/dressfordinner,https://www.notonthehighstreet.com/partners/dressfordinner/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fdressfordinner,0.0
guesswhatidid,guesswhatidid,,Guess What I Did! Experience Days,True,169,64,True,6.2K+,6200,1K+,2,,2 years,"Essex, GB",,https://www.notonthehighstreet.com/partners/guesswhatidid,https://www.notonthehighstreet.com/partners/guesswhatidid/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fguesswhatidid,10.32
indulgenthampersuk,indulgenthampersuk,,Love From Gifts,True,70,62,True,6.2K+,6200,1K+,1,,1 year,"Surrey, GB",,https://www.notonthehighstreet.com/partners/indulgenthampersuk,https://www.notonthehighstreet.com/partners/indulgenthampersuk/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Findulgenthampersuk,10.0
newforestprint,newforestprint,,New Forest Print,True,5,226,True,6.2K+,6200,1K+,11,,11 years,"Hampshire, GB",,https://www.notonthehighstreet.com/partners/newforestprint,https://www.notonthehighstreet.com/partners/newforestprint/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fnewforestprint,36.45
sarahlawrencejewellery,sarahlawrencejewellery,,Sarah Lawrence Jewellery,True,8,462,True,6.2K+,6200,1K+,14,,14 years,"West Yorkshire, GB",,https://www.notonthehighstreet.com/partners/sarahlawrencejewellery,https://www.notonthehighstreet.com/partners/sarahlawrencejewellery/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fsarahlawrencejewellery,74.52
fireandwolf,fireandwolf,,Fire and Wolf,True,5,57,True,6.1K+,6100,1K+,4,,4 years,"Essex, GB",,https://www.notonthehighstreet.com/partners/fireandwolf,https://www.notonthehighstreet.com/partners/fireandwolf/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Ffireandwolf,9.34
iseeme,iseeme,,I See Me! Personalised Children's Books,True,74,86,True,6.1K+,6100,1K+,9,,9 years,"Devon , GB",,https://www.notonthehighstreet.com/partners/iseeme,https://www.notonthehighstreet.com/partners/iseeme/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fiseeme,14.1
melanieporter,melanieporter,,Melanie Porter,True,105,128,True,6.1K+,6100,1K+,15,,15 years,"London, GB",,https://www.notonthehighstreet.com/partners/melanieporter,https://www.notonthehighstreet.com/partners/melanieporter/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fmelanieporter,20.98
chocolatesubmarine,chocolatesubmarine,,Yellow Green Blue,True,135,451,True,6.1K+,6100,1K+,15,,15 years,"Norfolk, GB",,https://www.notonthehighstreet.com/partners/chocolatesubmarine,https://www.notonthehighstreet.com/partners/chocolatesubmarine/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fchocolatesubmarine,73.93
abigailwarner,abigailwarner,,Abigail Warner,True,86,152,True,6.0K+,6000,1K+,18,,18 years,"Derbyshire, GB",,https://www.notonthehighstreet.com/partners/abigailwarner,https://www.notonthehighstreet.com/partners/abigailwarner/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fabigailwarner,25.33
habulous,habulous,,Dartmoor Ceramics,True,244,69,True,6.0K+,6000,1K+,4,,4 years,"Devon, GB",,https://www.notonthehighstreet.com/partners/habulous,https://www.notonthehighstreet.com/partners/habulous/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fhabulous,11.5
joulberry,joulberry,,Joulberry,True,48,429,True,6.0K+,6000,1K+,14,,14 years,"Surrey , GB",,https://www.notonthehighstreet.com/partners/joulberry,https://www.notonthehighstreet.com/partners/joulberry/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fjoulberry,71.5
justforyou,justforyou,,Just for You,True,28,342,True,6.0K+,6000,1K+,13,,13 years,"Surrey, GB",,https://www.notonthehighstreet.com/partners/justforyou,https://www.notonthehighstreet.com/partners/justforyou/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fjustforyou,57.0
collardmanson,collardmanson,,Maitri,True,173,105,True,6.0K+,6000,1K+,5,,5 years,"South Yorkshire, GB",,https://www.notonthehighstreet.com/partners/collardmanson,https://www.notonthehighstreet.com/partners/collardmanson/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fcollardmanson,17.5
rabal,rabal,,Rabal,True,71,188,True,6.0K+,6000,1K+,10,,10 years,"Essex, GB",,https://www.notonthehighstreet.com/partners/rabal,https://www.notonthehighstreet.com/partners/rabal/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Frabal,31.33
